location,topics
"Reading, United Kingdom","['c#', 'java', '.net', 'linq', 'string', 'generics']"
"New York, United States","['sql', 'sql-server', 'mysql', 'oracle', 'postgresql', 'tsql']"
France,"['git', 'github', 'eclipse', 'docker', 'version-control', 'go']"
"Willemstad, Curaçao","['java', 'jsf', 'jsf-2', 'servlets', 'jsp', 'html']"
"Sofia, Bulgaria","['c#', 'asp.net-mvc', 'asp.net-mvc-3', 'jquery', 'asp.net', '.net']"
"Cambridge, UK","['python', 'python-3.x', 'python-2.7', 'list', 'dictionary', 'string']"
"Forest of Dean, United Kingdom","['c#', '.net', 'linq', 'asp.net', 'serialization', 'sql-server']"
United Kingdom,"['javascript', 'jquery', 'java', 'arrays', 'html', 'node.js']"
"Pennsylvania, United States","['android', 'java', 'android-intent', 'android-studio', 'android-activity', 'service']"
"Christchurch, New Zealand","['git', 'python', 'c++', 'c', 'java', 'c#']"
"Madison, WI","['c#', '.net', 'winforms', 'c++', 'visual-studio', 'vb.net']"
United Kingdom,"['javascript', 'html', 'css', 'php', 'jquery', 'json']"
New Jersey,"['c#', 'javascript', '.net', 'jquery', 'java', 'html']"
,"['r', 'dplyr', 'dataframe', 'data.table', 'tidyverse', 'regex']"
,"['c', 'c++', 'bash', 'linux', 'shell', 'python']"
"Sunnyvale, CA","['python', 'list', 'c++', 'django', 'google-app-engine', 'sql']"
,"['python', 'pandas', 'numpy', 'dataframe', 'matplotlib', 'arrays']"
Guatemala,"['javascript', 'jquery', 'html', 'arrays', 'c#', '.net']"
Denmark,"['python', 'c#', 'mysql', 'string', 'sql', 'java']"
"Bratislava, Slovakia","['pandas', 'python', 'dataframe', 'python-3.x', 'numpy', 'pandas-groupby']"
Germany,"['javascript', 'jquery', 'ecmascript-6', 'php', 'html', 'arrays']"
,"['python', 'bash', 'django', 'linux', 'php', 'shell']"
"Bangalore, India","['regex', 'bash', 'shell', '.htaccess', 'apache', 'mod-rewrite']"
United Kingdom,"['git', 'c++', 'c', 'stl', 'pointers', 'arrays']"
"Redmond, WA","['c#', '.net', 'c++', 'visual-studio', 'linq', 'vb.net']"
"Bern, Switzerland","['sql-server', 'sql', 'c#', 'tsql', 'sql-server-2008', 'wcf']"
"Colorado, USA","['c', 'bash', 'c++', 'shell', 'unix', 'linux']"
"Arlington, MA","['javascript', 'php', 'mysql', 'jquery', 'python', 'c']"
United States,"['c#', 'java', 'c++', 'c', 'objective-c', 'ios']"
Australia,"['java', 'multithreading', 'string', 'android', 'performance', 'arrays']"
Singapore,"['css', 'css-selectors', 'html', 'php', 'javascript', 'c#']"
"Virsbo, Sweden","['c#', 'javascript', 'jquery', '.net', 'html', 'sql']"
"Saint-Etienne, France","['java', 'hibernate', 'jpa', 'spring', 'angularjs', 'jsp']"
,"['javascript', 'node.js', 'jquery', 'html', 'promise', 'express']"
